v8-version,6,0,287,53,0
code-creation,Stub,3,4638,0x3a8437e12720,155,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,4644,0x3a8437e127c0,2332,"RecordWriteStub"
code-creation,Stub,17,4650,0x3a8437e130e0,459,"BinaryOpICStub"
code-creation,Stub,3,4658,0x3a8437e132c0,2302,"RecordWriteStub"
code-creation,Stub,17,4666,0x3a8437e13bc0,427,"BinaryOpICStub"
code-creation,Stub,3,4672,0x3a8437e13d80,215,"DoubleToIStub"
code-creation,Stub,3,4677,0x3a8437e13e60,215,"DoubleToIStub"
code-creation,Stub,3,4683,0x3a8437e13f40,2328,"RecordWriteStub"
code-creation,Stub,3,4690,0x3a8437e14860,343,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,4696,0x3a8437e149c0,288,"An IC handler from the snapshot"
code-creation,Stub,17,4702,0x3a8437e14ae0,228,"BinaryOpICStub"
code-creation,Stub,17,4708,0x3a8437e14be0,336,"BinaryOpICStub"
code-creation,Stub,17,4713,0x3a8437e14d40,304,"BinaryOpICStub"
code-creation,Stub,3,4720,0x3a8437e14e80,2311,"RecordWriteStub"
code-creation,Stub,17,4726,0x3a8437e157a0,228,"BinaryOpICStub"
code-creation,Stub,17,4731,0x3a8437e158a0,312,"BinaryOpICStub"
code-creation,Stub,17,4737,0x3a8437e159e0,228,"BinaryOpICStub"
code-creation,Stub,3,4743,0x3a8437e15ae0,375,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4748,0x3a8437e15c60,327,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4754,0x3a8437e15dc0,2297,"RecordWriteStub"
code-creation,Stub,3,4760,0x3a8437e166c0,1405,"RecordWriteStub"
code-creation,Stub,17,4765,0x3a8437e16c40,248,"BinaryOpICStub"
code-creation,Stub,17,4771,0x3a8437e16d40,423,"BinaryOpICStub"
code-creation,Stub,3,4777,0x3a8437e16f00,2324,"RecordWriteStub"
code-creation,Stub,3,4782,0x3a8437e17820,1036,"RecordWriteStub"
code-creation,Stub,17,4788,0x3a8437e17c40,228,"BinaryOpICStub"
code-creation,Stub,3,4794,0x3a8437e17d40,2312,"RecordWriteStub"
code-creation,Stub,17,4800,0x3a8437e18660,427,"BinaryOpICStub"
code-creation,Stub,3,4805,0x3a8437e18820,397,"CEntryStub"
code-creation,Stub,17,4811,0x3a8437e189c0,308,"BinaryOpICStub"
code-creation,Stub,3,4817,0x3a8437e18b00,455,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4822,0x3a8437e18ce0,2316,"RecordWriteStub"
code-creation,Stub,3,4828,0x3a8437e19600,2302,"RecordWriteStub"
code-creation,Handler,4,4834,0x3a8437e19f00,328,"An IC handler from the snapshot"
code-creation,Handler,4,4840,0x3a8437e1a060,812,"An IC handler from the snapshot"
code-creation,Stub,3,4845,0x3a8437e1a3a0,2286,"RecordWriteStub"
code-creation,Stub,3,4851,0x3a8437e1aca0,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4857,0x3a8437e1ae80,2316,"RecordWriteStub"
code-creation,Stub,17,4862,0x3a8437e1b7a0,173,"BinaryOpICStub"
code-creation,Stub,3,4868,0x3a8437e1b860,2274,"RecordWriteStub"
code-creation,Stub,3,4874,0x3a8437e1c160,2340,"RecordWriteStub"
code-creation,Stub,3,4879,0x3a8437e1caa0,2282,"RecordWriteStub"
code-creation,Stub,17,4885,0x3a8437e1d3a0,455,"BinaryOpICStub"
code-creation,Stub,17,4890,0x3a8437e1d580,312,"BinaryOpICStub"
code-creation,Stub,17,4896,0x3a8437e1d6c0,173,"BinaryOpICStub"
code-creation,Stub,3,4902,0x3a8437e1d780,2285,"RecordWriteStub"
code-creation,Stub,17,4908,0x3a8437e1e080,300,"BinaryOpICStub"
code-creation,Stub,3,4913,0x3a8437e1e1c0,2286,"RecordWriteStub"
code-creation,Stub,3,4919,0x3a8437e1eac0,2297,"RecordWriteStub"
