Weight	Self Weight	Symbol Names
3.00 ms   0.0%	0 s	                     invocation function for block in dyld4::PrebuiltLoader::invalidateInIsolation(dyld4::RuntimeState const&) const
3.00 ms   0.0%	0 s	                      dyld4::SyscallDelegate::fileExists(char const*, dyld4::FileID*, int*) const
3.00 ms   0.0%	0 s	                       dyld3::stat(char const*, stat*)
3.00 ms   0.0%	3.00 ms	                        stat
1.00 ms   0.0%	0 s	      dyld4::APIs::runAllInitializersForMain()
1.00 ms   0.0%	0 s	       dyld4::Loader::runInitializersBottomUpPlusUpwardLinks(dyld4::RuntimeState&) const
1.00 ms   0.0%	0 s	        dyld4::Loader::runInitializersBottomUpPlusUpwardLinks(dyld4::RuntimeState&) const::$_0::operator()() const
1.00 ms   0.0%	0 s	         dyld4::Loader::runInitializersBottomUp(dyld4::RuntimeState&, dyld3::Array<dyld4::Loader const*>&, dyld3::Array<dyld4::Loader const*>&) const
1.00 ms   0.0%	0 s	          dyld4::Loader::runInitializersBottomUp(dyld4::RuntimeState&, dyld3::Array<dyld4::Loader const*>&, dyld3::Array<dyld4::Loader const*>&) const
1.00 ms   0.0%	0 s	           dyld4::Loader::runInitializersBottomUp(dyld4::RuntimeState&, dyld3::Array<dyld4::Loader const*>&, dyld3::Array<dyld4::Loader const*>&) const
1.00 ms   0.0%	0 s	            dyld4::PrebuiltLoader::runInitializers(dyld4::RuntimeState&) const
1.00 ms   0.0%	0 s	             dyld4::Loader::findAndRunAllInitializers(dyld4::RuntimeState&) const
1.00 ms   0.0%	0 s	              dyld3::MachOAnalyzer::forEachInitializer(Diagnostics&, dyld3::MachOAnalyzer::VMAddrConverter const&, void (unsigned int) block_pointer, void const*) const
1.00 ms   0.0%	0 s	               dyld3::MachOFile::forEachSection(void (dyld3::MachOFile::SectionInfo const&, bool, bool&) block_pointer) const
1.00 ms   0.0%	0 s	                dyld3::MachOFile::forEachLoadCommand(Diagnostics&, void (load_command const*, bool&) block_pointer) const
1.00 ms   0.0%	0 s	                 invocation function for block in dyld3::MachOFile::forEachSection(void (dyld3::MachOFile::SectionInfo const&, bool, bool&) block_pointer) const
1.00 ms   0.0%	0 s	                  invocation function for block in dyld3::MachOAnalyzer::forEachInitializer(Diagnostics&, dyld3::MachOAnalyzer::VMAddrConverter const&, void (unsigned int) block_pointer, void const*) const
1.00 ms   0.0%	1.00 ms	                   _GLOBAL__sub_I_stdlib_typed_new.cpp
